Date,Donor,Address,Amount
2013-05-13,MYRTLE AVE ASSOCIATES LLC.,,1000.0
2013-05-13,WILDER BALTER PARTNERS LLC,,5000.0
2013-05-13,OMNI HOUSING DEVELOPMENT LLC,,5000.0
2013-05-13,"RED STONE EQUITY PARTNERS, LLC",,2500.0
2013-05-13,CITY VENTILATIONS LLC,,300.0
2013-05-13,D&F SP DEVELOPMENT LLC,,10000.0
2013-05-20,CROWN JANITORIAL PRODUCTS LLC,,1000.0
2013-05-20,"MS & B CONSTRUCTION CO., LLC",,20000.0
2013-05-22,GOTHAM GOVERNMENT RELATIONS LLC,,5000.0
2013-05-22,"GEORGE DRAPEAU COMPANY, LLC",,1000.0
2013-05-22,"STRATFORD CAPITAL GROUP, LLC",,2500.0
2013-05-22,"YANKEE GLOBAL ENTERPRISES, LLC",,19700.0
2013-05-28,COMMERCIAL RECYCLING TECHNOLOGY LLC,,2500.0
2013-05-29,TECH VALLEY HOLDINGS LLC,,5000.0
2013-05-29,DAVIS FIRM LLC,,2000.0
2013-05-29,"KNICKERBOCKER PARKING, LLC",,20000.0
2013-05-29,ERB LLC,,5000.0
2013-05-29,O & H MANAGEMENT LLC,,5000.0
2013-05-29,2238 CRESTON AVE LLC,,5000.0
2013-05-29,"CINE MAGIC RIVERFRONT STUDIOS, LLC",,2500.0
2013-05-29,KNICKERBOCKER TELEVISION LLC,,20000.0
2013-05-29,THE NICOTRA GROUP LLC,,5000.0
2013-05-29,DBS RESTAURANT GROUP LLC,,25000.0
2013-05-29,"KNICKERBOCKER MANAGEMENT, LLC",,20000.0
2013-05-29,RIZARO MANAGEMENT LLC,,30000.0
2013-06-10,"VCORE SOLUTIONS, LLC",,200.0
2013-06-10,L & M ADMINISTRATIVE SERVICES LLC,,1000.0
2013-06-10,COUNTY BUILDERS LLC,,1000.0
2013-06-10,"ACCESS INDUSTRIES, LLC",,50000.0
2013-06-10,CHATSWORTH BUILDERS LLC,,1000.0
2013-06-10,RENTACRATE LLC,,1000.0
2013-06-10,STRATEGIC PLANNING PARTNERS LLC,,200.0
2013-06-10,"L & M BUILDERS GROUP, LLC",,1000.0
2013-06-10,CONGRESS BUILDERS LLC,,1000.0
2013-06-20,"GGMC PARKING, LLC",,1000.0
2013-06-20,111241 LLC,,10000.0
2013-06-21,"DOVER KNOLLS DEVELOPMENT CO. II, LLC",,10000.0
2013-06-21,ARWIN 88TH ST. LLC,,25000.0
2013-06-21,92ND REALTY LLC,,25000.0
2013-06-21,1060 UNIVERSITY AVE LLC,,5000.0
2013-06-21,56TH REALTY LLC,,25000.0
2013-06-21,1060 UNIVERSITY AVE LLC,,5000.0
2013-06-21,79TH STREET REALTY LLC,,25000.0
2013-06-21,STRATOSPHERE DEVELOPMENT CO. LLC,,4200.0
2013-06-21,CROWN JANITORIAL PRODUCTS LLC,,1000.0
2013-06-21,80TH REALTY LLC,,25000.0
2013-06-21,BELL URBAN LLC,,5000.0
2013-06-21,CONGRESS BUILDERS LLC,,4000.0
2013-06-21,CHATSWORTH BUILDERS LLC,,4000.0
2013-06-21,COUNTY BUILDERS LLC,,4000.0
2013-06-21,"L & M BUILDERS GROUP, LLC",,4000.0
2013-06-21,L & M ADMINISTRATIVE SERVICES LLC,,4000.0
2013-06-28,MANHATTAN BEER DISTRIBUTORS LLC,,25000.0
2013-06-28,TOTAL HEALTH NUTRIENTS LLC,,5000.0
2013-06-28,1060 UNIVERSITY AVE LLC,,1000.0
2013-06-28,PLAZA 9 ASSOCIATES LLC,,500.0
2013-06-28,"PLUMMER & ASSOCIATES, LLC",,2500.0
2013-06-28,DOLP 114 PROPERTIES LLC,,2500.0
2013-06-28,DOLP 1155 PROPERTIES LLC,,2500.0
2013-06-28,DOLP 655 PROPERTIES LLC,,2500.0
2013-06-28,DOLP 825 PROPERTIES LLC,,2500.0
2013-06-28,"PIERCE MUNITIONS, LLC",,7500.0
2013-06-28,DOLP 1133 PROPERTIES LLC,,2500.0
2013-06-28,MATTONE INVESTORS LLC,,10000.0
2013-06-28,CORNING PLACE CONSULTING LLC,,5000.0
2013-06-28,FRONTIER HEALTHCARE HOLDINGS LLC,,1000.0
2013-06-30,"BCGHQ, LLC",,10000.0
2013-06-30,KR CAPITAL PARTNERS LLC,,2500.0
2013-06-30,"ACME VENDING, LLC",,1000.0
2013-06-30,"VENDING PROPERTY, LLC",,1000.0
2013-06-30,"BCGHQ, LLC",,5000.0
2013-06-30,"WESTCHESTER SPINE AND BRAIN SURGERY, PLLC",,2000.0
2013-07-02,EZIQC LLC,,25000.0
2013-07-02,WASTE MANAGEMENT OF NEW YORK LLC,,10000.0
2013-07-02,"TONIO BURGOS & ASSOCIATES OF NEW JERSEY, LLC",,2300.0
2013-07-02,DOI HOLDING LLC,,2500.0
2013-07-02,GENOVA BURNS GIANTOMASI WEBSTER LLC,,10000.0
2013-07-02,OBP DEVELOPER LLC,,2500.0
2013-07-02,DOLP PARTNERS LLC,,2500.0
2013-07-02,"DAVID MONN, LLC",,2500.0
2013-07-03,"INTERCONTINENTAL NEW YORK TIMES SQUARE, LLC",,2500.0
2013-07-08,214TH STREET REALTY GROUP LLC,,5000.0
2013-07-08,MARATHON DEVELOPMENT GROUP LLC,,15000.0
2013-07-09,"COR PROPERTY SERVICES COMPANY, LLC",,25000.0
2013-07-10,"JOYNT VENTURES, LLC",,60000.0
2013-07-11,112 - 118 WEST 25TH STREET LLC,,40000.0
2013-07-11,"PYRAMID MANAGEMENT GROUP, LLC",,22500.0
2013-07-11,WEST 33RD STREET LLC,,60000.0
2013-07-11,CABLEVISION OF HUDSON COUNTY LLC,,25000.0
2013-07-11,"SYRACUSE SAND & GRAVEL, LLC",,25000.0
2013-07-11,"COSTELLO, COONEY & FEARON, PLLC",,2000.0
2013-07-16,JUJAMCYN THEATERS LLC,,18691.0
2013-08-06,"FOREST LAKE EQUITIES, LLC",,1000.0
2013-08-06,3MB ASSOCIATES LLC,,45000.0
2013-08-06,NEW COURT LLC,,1000.0
2013-08-06,TNS DEVELOPER LLC,,2500.0
2013-08-06,SIXTH AVENUE FUNDING LLC,,2500.0
2013-08-06,"LECHASE CONSTRUCTION SERVICES, LLC",,25000.0
2013-08-06,"BOND, SCHOENECK & KING, PLLC",,5000.0
2013-08-06,"O'BRIEN & GERE OPERATIONS, LLC",,1000.0
2013-08-06,106 WEST 31 LLC,,2500.0
2013-08-06,"COLUMBIA HPS, LLC",,25000.0
2013-08-06,CANYON CLUB PARTNERS LLC,,1000.0
2013-08-06,DOLP 733 PROPERTIES LLC,,2500.0
2013-08-06,DOI WEST 31ST STREET LLC,,2500.0
2013-08-06,"ANHEUSER-BUSCH COMPANIES, LLC",,25000.0
2013-08-06,"SUREMERICA SURETY UNDERWRITING SERVICES, LLC",,10000.0
2013-08-06,THE HELENA ASSOCIATES LLC,,2500.0
2013-08-06,DOLP 675 PROPERTIES LLC,,2500.0
2013-08-06,PREMIER PAWN LLC,,10000.0
2013-08-06,DOLP 205 PROPERTIES LLC,,2500.0
2013-08-06,"NRP CONTRACTORS, LLC",,2500.0
2013-08-06,DOI RESIDENTIAL LLC,,2500.0
2013-08-29,"THE WITKOFF GROUP, LLC",,20000.0
2013-08-29,RFR HOLDING LLC,,50000.0
2013-08-29,SIX ROSES LLC,,5000.0
2013-08-30,"BRADY ASSOCIATES, LLC",,500.0
2013-08-30,"GERLAN REALTY, LLC",,500.0
2013-08-30,"FIEBER REALTY, LLC",,500.0
2013-08-30,"OTG MANAGEMENT, LLC",,10000.0
2013-08-30,"GRAND ASSOCIATES, LLC",,500.0
2013-08-30,"HILLCREST REALTY CO., LLC",,500.0
2013-08-30,"MACE REALTY CO., LLC",,500.0
2013-08-30,"ADEE REALTY, LLC",,500.0
2013-08-30,"ROLIL REALTY, LLC",,500.0
2013-08-30,HINMAN STRAUB ADVISORS LLC,,10000.0
2013-09-24,WALTERS GROUP CONSULTING LLC,,2000.0
2013-09-24,"CAPITOL STRATEGIES GROUP, LLC",,2000.0
2013-09-24,LEMERY GREISLER LLC,,5000.0
2013-09-30,"MIRROR LAKE CONSULTING, LLC",,5000.0
2013-10-04,"MACANDREWS & FORBES GROUP, LLC",,6250.0
2013-10-30,FIRST NATIONWIDE TITLE AGENCY LLC,,25000.0
2013-11-07,JOSEPH G. MAKOWSKI LLC,,1000.0
2013-11-08,PITTA BISHOP DEL GIORNO & GIBLIN LLC,,12500.0
2013-11-08,PHILLIPS GROSSMAN PLLC,,10000.0
2013-11-25,RIZARO MANAGEMENT LLC,,30000.0
2013-11-25,CONSTELLATION LEASING LLC,,13678.0
2013-11-25,WEST 42ND STREET DEVELOPERS LLC,,10000.0
2013-11-25,"GRAND ASSOCIATES, LLC",,10000.0
2013-11-25,"HALLETTS A DEVELOPMENT CO., LLC",,2000.0
2013-11-25,THE ACKMAN-ZIFF REAL ESTATE GROUP LLC,,5000.0
2013-11-25,NY PRINTS LLC,,1000.0
2013-12-11,BROOKFIELD PROPERTIES 75 STATE CO. LLC,,50000.0
2013-12-11,"THE RINALDI GROUP, LLC",,5000.0
2013-12-11,"LIBERTY NATURAL GAS, LLC",,5000.0
2013-12-11,"WOH GOVERNMENT SOLUTIONS, LLC",,6250.0
2013-12-12,"R & P OAK HILL DEVELOPMENT, LLC",,1000.0
2013-12-12,LBIT 2002 LLC,,50000.0
2013-12-17,SUNHARBOR ACQUISITION LLC,,1250.0
2013-12-20,BLANDFORD GROUP LLC,,2500.0
2013-12-20,BOWNE ASSOCIATES LLC,,5000.0
2013-12-20,STONERIVER PHARMACY SOLUTIONS LLC,,1000.0
2013-12-20,POUGHKEEPSIE CROSSINGS LLC,,2500.0
2013-12-23,WASTE MANAGEMENT OF NEW YORK LLC,,2500.0
2013-12-23,DUFFY & DUFFY PLLC,,25000.0
2013-12-23,WD MANAGEMENT LLC,,1000.0
2013-12-23,EZIQC LLC,,5000.0
2013-12-23,CIMC ASSOCIATES LLC,,2500.0
2013-12-23,"THE BONGIORNO LAW FIRM, PLLC",,25000.0
2013-12-23,LJM RAD LLC,,10000.0
2013-12-23,AVALON GARDENS REHABILITATION & HEALTHCARE LLC,,500.0
2013-12-23,UTICA CROSSING LLC,,2500.0
2013-12-23,HASA CONSTRUCTION LLC,,3000.0
2013-12-23,HAGGERTY MUNZ PLLC,,4000.0
2013-12-23,FOCUSED TECHNOLOGIES IMAGING SERVICES LLC,,3000.0
2013-12-23,GDP CONSULTING LLC,,1000.0
2013-12-23,BAY PARK NURSING AND REHABILITATION LLC,,500.0
2013-12-23,CATSKILL CROSSINGS LLC,,2000.0
2013-12-23,MAD LLC,,25000.0
2013-12-23,LANDEN ASSOCIATES LLC,,5000.0
2013-12-23,"WILLETS POINT HOLDINGS, LLC",,30000.0
2013-12-23,1234 ACQUISITION LLC,,1000.0
2013-12-23,WEST 60TH STREET REALTY ASSOCIATION LLC,,5000.0
2013-12-23,COMMACK CHI LLC,,17500.0
2013-12-23,ALCOTT HR GROUP LLC,,3000.0
2013-12-26,CONSTANTINOPLE & VALLONE CONSULTING LLC,,2500.0
2013-12-27,ABL LEASING LLC,,1000.0
2013-12-27,ENRG I LLC,,2000.0
2013-12-27,"MERIDIAN CAPITAL GROUP, LLC",,5000.0
2013-12-27,"WEBB LEASING OF BUFFALO, LLC",,5000.0
2013-12-27,"SIGNATURE DEVELOPMENT BUFFALO, LLC",,1000.0
2013-12-27,"THE BUFFALO LAFAYETTE LEASING, LLC",,1000.0
2013-12-27,CB-EMMANUEL REALTY LLC,,1000.0
2013-12-27,YR BLANC & CO LLC,,2000.0
2013-12-27,"C&C, LLC PAC",,2500.0
2013-12-27,NY2O LLC,,15000.0
2013-12-27,NICL INSURANCE SERVICES LLC,,200.0
2013-12-27,"H@ LOFTS, LLC",,1000.0
2013-12-27,MCGUIRE DEVELOPMENT COMPANY LLC,,500.0
2013-12-27,RPS 56 LLC,,20000.0
2013-12-27,CLAY ROUTE 31 DEVELOPMENT COMPANY LLC,,17500.0
2013-12-27,DUFFY & DUFFY PLLC,,20000.0
2013-12-27,CONSTELLATION LEASING LLC,,10000.0
2013-12-27,"IMPACTO CONSULTING ASSOCIATES, LLC",,500.0
2013-12-27,ELLICOTT LOFTS LLC,,1000.0
2013-12-30,H.J.K. LLC,,20000.0
2013-12-31,254 PAS PROPERTY LLC,,20000.0
2014-01-06,MORGAN VENTURES LLC,,1000.0
2014-01-06,PLATSCHEK FAMILY LLC,,5000.0
2014-01-06,MEDALLION HAMPTONS LLC,,25000.0
2014-01-06,REAL SOURCE LLC,,25000.0
2014-01-06,MUSS DEVELOPMENT LLC,,10000.0
2014-01-07,ARWIN 74TH ST. LLC,,25000.0
2014-01-07,ARWIN 88TH ST. LLC,,25000.0
2014-01-07,"EAST 81ST REALTY, LLC",,25000.0
2014-01-07,92ND REALTY LLC,,25000.0
2014-01-07,EAST 77TH REALTY LLC,,25000.0
2014-01-07,TRIBECA NORTH END LLC,,25000.0
2014-01-07,"RIVER YORK BARCLAY, LLC",,25000.0
2014-01-07,"NBCUNIVERSAL MEDIA, LLC",,41000.0
2014-01-08,EMPIRE EXECUTIVE INN LLC,,15000.0
2014-01-08,"WCD GROUP, LLC",,2000.0
2014-01-08,"ISLIP VENTURES, LLC",,10000.0
2014-01-08,LAFARGE MID-ATLANTIC LLC,,2000.0
2014-01-09,COMCAST OF ILLINOIS/INDIANA/OHIO LLC,,41100.0
2014-01-09,"YELLOW PROPERTIES, LLC",,1000.0
2014-01-10,"CHESTER MALL, LLC",,10000.0
2014-01-10,"COOK & KRUPA, LLC.",,5000.0
2014-01-10,SHOLOM & ZUCKERBROT REALTY LLC,,2500.0
2014-01-10,"HAMPSHIRE MANAGEMENT COMPANY, LLC",,25000.0
2014-01-13,"SYRACUSE PROPERTY PARTNERS, LLC",,25000.0
2014-01-13,CORYMARIE LEASING LLC,,10000.0
2014-01-13,NIAGARA FALL REDEVELOPMENT LLC,,2500.0
2014-01-13,"ZUFFA, LLC",,5800.0
2014-01-13,"HOME DEPOT STORE SUPPORT, LLC",,1000.0
2014-01-13,"ULTIMATE FIGHTING PRODUCTIONS, LLC",,4200.0
2014-01-13,"TRM DESIGN AND PLANNING, LLC",,1500.0
2014-01-13,"1625 BUFFALO AVENUE, LLC",,500.0
2014-01-14,NEXTERA ENERGY TRANSMISSION LLC,,3000.0
2014-01-14,"EXTENDED NURSING PERSONNEL, CHHA LLC",,10000.0
2014-01-14,BERIT REALTY LLC,,10000.0
2014-01-16,"COURTHOUSE CORPORATE CENTER, LLC",,25000.0
2014-01-17,"NBC UNIVERSAL MEDIA, LLC",,100.0
2014-02-12,"MS & B CONSTRUCTION CO., LLC",,15000.0
2014-02-25,77 K STREET TOWER LLC,,40000.0
2014-02-25,BP ONE WFC CO. LLC,,10000.0
2014-03-03,"KNICKERBOCKER MANAGEMENT, LLC",,15000.0
2014-03-04,"PARKVIEW DEVELOPMENT & CONSTRUCTION, LLC",,7500.0
2014-03-04,DIAMOND ADVANTAGE LLC,,5000.0
2014-03-04,"KNICKERBOCKER PARKING, LLC",,15000.0
2014-03-04,"ANHEUSER-BUSCH COMPANIES, LLC",,15000.0
2014-03-04,"OTG MANAGEMENT, LLC",,15000.0
2014-03-04,"C&C, LLC PAC",,15000.0
2014-03-04,ENGLISH GENERAL PARTNERS LLC,,5000.0
2014-03-04,WILLIAM MORRIS ENDEAVOR ENTERTAINMENT LLC,,5000.0
2014-03-24,GREENHILL LLC,,12663.0
2014-03-25,"DOUGLAS POLANER SELECTIONS, LLC",,1000.0
2014-03-25,JOTO SAKE LLC,,1000.0
2014-03-25,J-TRACK LLC,,20000.0
2014-03-25,"DAVID BOWLER, LLC",,1000.0
2014-03-25,TC ELECTRIC LLC,,20000.0
2014-03-25,WELKIN MECHANICAL LLC,,10000.0
2014-03-25,"VISION WINE BRANDS, LLC",,1000.0
2014-03-25,FOND DU LAC COLD STORAGE LLC,,1000.0
2014-03-25,CBS OUTDOOR LLC,,10000.0
2014-03-25,"VERITY WINES, LLC",,1000.0
2014-04-01,750 THIRD OWNER LLC,,5000.0
2014-04-08,GHP HUGUENOT DELAWARE LLC,,2000.0
2014-04-08,KANSAS LEASING LLC,,10000.0
2014-04-08,THOMPSON & BENDER LLC,,1000.0
2014-04-08,TOWN LEASING LLC,,10000.0
2014-04-08,"SABER REAL ESTATE ADVISORS, LLC",,1000.0
2014-04-08,UTAH LSG DELAWARE LLC,,10000.0
2014-04-08,LSS LEASING LLC,,10000.0
2014-04-08,MAN-O-WAR LLC,,20000.0
2014-04-08,WETHEROLE HOLDING LLC,,10000.0
2014-04-08,MCG CONSTRUCTION LLC,,2500.0
2014-04-08,KONAR ENTERPRISES LLC,,5000.0
2014-04-08,IMPROVEMENT FUND LLC,,55000.0
2014-04-08,EARTH LEASING PROPERTY LLC,,10000.0
2014-04-08,AGS VENTURES II LLC,,60000.0
2014-04-08,HAUSER BROS HOLDINGS LLC,,10000.0
2014-04-08,RMLC LLC,,10000.0
2014-04-08,BUILDERS LEASING LLC,,10000.0
2014-04-08,FORD LEASING PROPERTY LLC,,10000.0
2014-04-08,AUBURN LEASING LLC,,10000.0
2014-04-08,"D&J INDUSTRIES, LLC",,2000.0
2014-04-08,NOTRE DAME LEASING LLC,,10000.0
2014-04-08,"MOUNTAINVILLE ASSOCIATES, LLC",,3000.0
2014-04-08,JM3 CONSTRUCTION LLC,,1000.0
2014-04-17,S & R COMPANY OF WEST SENECA NEWCO LLC,,25000.0
2014-04-17,"WHITE BIRCH, LLC",,5000.0
2014-04-17,GTL CONSTRUCTION LLC,,1000.0
2014-04-17,ASHLING CONSTRUCTION LLC,,2500.0
2014-04-21,RCA ASPHALT LLC,,1000.0
2014-04-21,TERN CONSTRUCTION & DEVELOPMENT LLC,,8000.0
2014-04-21,"PORTABLES UNLIMITED, LLC",,2000.0
2014-04-21,ADA ELECTRICAL CONTRACTING LLC,,1000.0
2014-04-21,TARRYTOWN WATERFRONT I LLC,,1000.0
2014-04-21,ANOTHER 9 LLC,,1000.0
2014-04-21,HELLMAN MANAGEMENT LLC,,1000.0
2014-04-21,ASA CONSTRUCTION & MANAGEMENT LLC,,15000.0
2014-04-21,"CINE MAGIC EAST RIVER STUDIOS, LLC",,5000.0
2014-05-01,750 THIRD OWNER LLC,,5000.0
2014-05-05,PCT CONTRACTING LLC,,1000.0
2014-05-05,YOURPFO CONSULTING LLC,,1000.0
2014-05-05,WINTERS BROS DEVELOPMENT COMPANY LLC,,25000.0
2014-05-13,"INFOR SOFTWARE PARENT, LLC",,25782.0
2014-05-29,TITAN OUTDOOR LLC,,2500.0
2014-05-29,CROWN JANITORIAL PRODUCTS LLC,,1000.0
2014-05-29,NORSTAR AT BEAR CREEK LLC,,25000.0
2014-05-29,OMNI HOUSING DEVELOPMENT LLC,,5000.0
2014-05-29,"HIGHLAND PARK VILLAGE, LLC",,25000.0
2014-05-29,CLAY ROUTE 31 DEVELOPMENT COMPANY LLC,,25000.0
2014-05-29,MCGUIRE DEVELOPMENT COMPANY LLC,,25000.0
2014-05-29,NIMA CAPITAL PARTNERS LLC,,2000.0
2014-05-29,EMERALD CITY CONSTRUCTION LLC,,10000.0
2014-05-29,CITY VENTILATIONS LLC,,2500.0
2014-05-29,HOME LEASING LLC,,5000.0
2014-05-29,PARKER MAINTENANCE LLC,,2000.0
2014-05-30,BOWNE ASSOCIATES LLC,,2500.0
2014-05-30,"NEW YORK HEALTH CARE ALLIANCE, LLC",,2500.0
2014-05-30,CENTERS FOR CARE LLC,,2500.0
2014-06-01,750 THIRD OWNER LLC,,5000.0
2014-06-17,URBAN PRECAST LLC,,5000.0
2014-06-17,MATAR PROPERTIES LLC,,60000.0
2014-06-17,ORION SUMMIT SERVICES LLC,,2000.0
2014-06-17,TS/TSCE INDIA NOMINEE LLC,,10000.0
2014-06-17,METRIC TESTING LAB LLC,,2500.0
2014-06-17,"25 MONROE STREET, LLC",,50000.0
2014-06-17,"URBAN ERECTORS, LLC",,5000.0
2014-06-18,"INFOR SOFTWARE PARENT, LLC",,35018.0
2014-06-19,"DOVER KNOLLS DEVELOPMENT CO. II, LLC",,25000.0
2014-06-26,KASIRER CONSULTING LLC,,5000.0
2014-06-27,ASA CONSTRUCTION & MANAGEMENT LLC,,25000.0
2014-06-27,BRUYN SMITH REALTY LLC,,25000.0
2014-06-30,"BEDELL NORTH FORK, LLC",,1500.0
2014-06-30,"MILES WINE CELLARS, LLC",,921.0
2014-06-30,DANSKAMMER ENERGY LLC,,5000.0
2014-06-30,"VILLA BELL'ANGELO, LLC",,1212.0
2014-06-30,"CHANNING DAUGHTERS WINERY, LLC",,1248.0
2014-07-01,750 THIRD OWNER LLC,,5000.0
2014-07-02,"CABLEVISION OF WARWICK, LLC",,20000.0
2014-07-02,JOPAL BRONX LLC,,2000.0
2014-07-02,EEMERGE NYC LLC,,5000.0
2014-07-02,NICHOLAS & LENCE COMMUNICATIONS LLC,,2000.0
2014-07-02,GOTHAM GOVERNMENT RELATIONS LLC,,1000.0
2014-07-02,"OTG MANAGEMENT, LLC",,15000.0
2014-07-02,ADVANCED CARE STAFFING LLC,,3000.0
2014-07-02,"CABLEVISION OF MONMOUTH, LLC",,20000.0
2014-07-02,"TAYLOR RECYCLING FACILITY, LLC",,12500.0
2014-07-02,ROCKAWAY CARE CENTER LLC,,1000.0
2014-07-02,CATON PARK NURSING HOME LLC,,1000.0
2014-07-02,"TAYLOR-MONTGOMERY, LLC",,12500.0
2014-07-02,"BCGHQ, LLC",,5000.0
2014-07-02,BROOKFIELD POWER US ASSET MANAGEMENT LLC,,25000.0
2014-07-02,"KIRCHHOFF-CONSIGLI CONSTRUCTION MANAGEMENT, LLC",,10000.0
2014-07-02,"CABLEVISION OF NEW JERSEY, LLC",,20000.0
2014-07-02,"CABLEVISION OF ROCKLAND/RAMAPO, LLC",,20000.0
2014-07-02,WASTE MANAGEMENT OF NEW YORK LLC,,10000.0
2014-07-02,"THE RINALDI GROUP, LLC",,2000.0
2014-07-02,BARNWELL NURSING AND REHAB CENTER LLC,,2000.0
2014-07-02,496 WEST JERICHO TURNPIKE LLC,,25000.0
2014-07-09,2238 CRESTON AVENUE LLC,,10000.0
2014-07-09,MSL PARTNERS LLC,,12500.0
2014-07-09,NNE PARTNERS LLC,,12500.0
2014-07-09,LIBERTY GREEN ASSOCIATES II LLC,,25000.0
2014-07-10,SAJE BUILD LLC,,5000.0
2014-07-10,ALDA REAL ESTATE HOLDINGS LLC,,25000.0
2014-07-10,VISTA REALTY SERVICES LLC,,1000.0
2014-07-10,JMA LLC,,1000.0
2014-07-10,CAPOCCIA ASSET MANAGERS LLC,,10000.0
2014-07-10,CENTERS FOR CARE LLC,,5000.0
2014-07-10,TDC SALES LLC,,2500.0
2014-07-10,GOLDEN GATE REHAB AND HEALTH CENTER LLC,,2000.0
2014-07-10,"MARINEMAX NORTHEAST, LLC",,2500.0
2014-07-10,PENINSULA NURSING & REHABILITATION CENTER LLC,,2000.0
2014-07-10,GART ROOSEVELT ASSOCIATES LLC,,2500.0
2014-07-10,SPRING SCAFFOLDING LLC,,500.0
2014-07-10,"PATHWAYS NURSING AND REHAB CENTER, LLC",,2000.0
2014-07-10,BFP POTOMAC TOWER CO. LLC,,35000.0
2014-07-10,"BAY PARK CENTER FOR NURSING AND REHAB, LLC",,2000.0
2014-07-10,"MORNINGSIDE ACQUISITION I, LLC",,2000.0
2014-07-10,"MACANDREWS & FORBES GROUP, LLC",,25000.0
2014-07-10,AVALON GARDENS REHABILITATION & HEALTHCARE LLC,,2000.0
2014-07-10,GRACE PLAZA LLC,,2000.0
2014-07-10,SMEJ HOLDINGS LLC,,1250.0
2014-07-10,MILLS POND NURSING AND REHABILITATION CENTER LLC,,2000.0
2014-07-10,"MORRIS WESTCHESTER CONST. CO., LLC",,500.0
2014-07-10,BFP 300 MADISON II LLC,,40000.0
2014-07-10,BEMOUNT LLC,,25000.0
2014-07-10,THROGS NECK EXTENDED CARE FACILITY LLC,,1000.0
2014-07-10,GARTENSTEIN ACQUISITION LLC,,1250.0
2014-07-10,A.J. LABELLE & PARTNERS LLC,,2500.0
2014-07-10,PLYMOUTH ROCK ENERGY LLC,,5000.0
2014-07-10,"PHARMSCRIPT, LLC",,5000.0
2014-07-10,REB LLC,,5000.0
2014-07-10,BABA REALTY LLC,,5000.0
2014-07-10,MATTONE INVESTORS LLC,,5000.0
2014-07-10,BROWN & ALTMAN LLC,,1500.0
2014-07-10,"T&M PROTECTION RESOURCES, LLC",,5000.0
2014-07-10,HAMPTONS CENTER FOR REHAB AND NURSING LLC,,1000.0
2014-07-11,"PINNACLE INDUSTRIES II, LLC",,5000.0
2014-07-11,"MS & B CONSTRUCTION CO., LLC",,10000.0
2014-07-11,BRIAR HILL REALTY LLC,,25000.0
2014-07-11,"SAFWAY ATLANTIC, LLC",,5000.0
2014-07-11,"TRIAD GROUP, LLC",,5000.0
2014-07-11,BARCLAY STREET REALTY LLC,,25000.0
2014-07-11,"CIVETTA COUSINS JV, LLC",,5000.0
2014-07-11,BOUSQUET HOLSTEIN PLLC,,1000.0
2014-07-11,"NOBLE MARKETS, LLC",,5000.0
2014-07-11,UAS LLC,,2500.0
2014-07-11,"BOND, SCHOENECK & KING, PLLC",,1500.0
2014-07-11,"RELOCO, LLC",,15000.0
2014-07-11,THE MULHOLLAND GROUP LLC,,25000.0
2014-07-12,"ATLANTIC DIALYSIS MANAGEMENT SERVICES, LLC",,5000.0
2014-07-12,"TYCHE POWER PARTNERS, LLC",,5000.0
2014-07-12,"PALLIATECH NY, LLC",,10000.0
2014-07-12,NEPHROLOGY PLLC,,1000.0
2014-07-12,CONSTANTINOPLE & VALLONE CONSULTING LLC,,1500.0
2014-07-12,GRACE PLAZA LLC,,500.0
2014-07-12,"PATHWAYS NURSING AND REHAB CENTER, LLC",,500.0
2014-07-13,CONGRESS BUILDERS LLC,,5000.0
2014-07-13,"BLUESTONE MANAGEMENT ASSOCIATES, LLC",,5000.0
2014-07-13,CHATSWORTH BUILDERS LLC,,5000.0
2014-07-13,COUNTY BUILDERS LLC,,5000.0
2014-07-13,"O & H MANAGEMENT, LLC",,5000.0
2014-07-13,NEXTERA ENERGY TRANSMISSION LLC,,2500.0
2014-07-13,"L&M ADMINISTRATIVE SERVICES, LLC",,5000.0
2014-07-13,RENAISSANCE EQUITY LLC,,25000.0
2014-07-13,"L&M BUILDERS GROUP, LLC",,5000.0
2014-07-13,SECURITY EQUITY LLC,,25000.0
2014-07-14,BRIAR HILL REALTY LLC,,34800.0
2014-07-14,AI PETROLEUM HOLDINGS LLC,,39200.0
2014-07-14,EAST 72ND REALTY LLC,,11200.0
2014-07-14,80TH REALTY LLC,,26500.0
2014-07-14,"BAY PARK CENTER FOR NURSING AND REHAB, LLC",,500.0
2014-07-14,BFC SECOND AVENUE BUILDERS LLC,,25000.0
2014-07-14,ARWIN 74TH STREET LLC,,35800.0
2014-07-14,TRIBECA NORTH END LLC,,9300.0
2014-07-14,ACCESS INDUSTRIES HOLDINGS LLC,,10800.0
2014-07-14,COLUMBUS 60TH REALTY LLC,,35800.0
2014-07-14,GOLDEN GATE REHAB AND HEALTH CENTER LLC,,500.0
2014-07-14,EAST 85TH REALTY LLC,,15800.0
2014-07-24,EPONYMOUS ASSOCIATES LLC,,5000.0
2014-07-24,"FOUNTAIN BEACH RESIDENCES, LLC",,10000.0
2014-07-24,HALMAR TRANSPORTATION SYSTEMS LLC,,25000.0
2014-07-24,"CHESTER MALL, LLC",,5000.0
2014-07-24,FLORMAN TANNEN LLC,,250.0
2014-07-24,EAST COAST PLUMBING LLC,,25000.0
2014-07-24,HUDSON GROUP RETAIL LLC,,15000.0
2014-07-24,EMPIRE EXECUTIVE INN LLC,,10000.0
